"","","","","","Issue Date","","","","","","","","","","","Violation","","","","","","","","","","","Location","","","","","",""
"","","E76041","","","03/14/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76043","","","03/14/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76042","","","03/14/2018  04:03:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63974","","","03/15/2018  11:03:00 AM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Main/Bailey","","","","","",""
"","","E76044","","","06/15/2018  12:06:00 PM","","","","","","","","","","","PARKED WITHOUT VALID STATE REG","","","","","","","","","","","Flint West","","","","","",""
"","","E76045","","","07/24/2018  02:07:00 AM","","","","","","","","","","","PARKED ON GRASS*","","","","","","","","","","","Parker Lot","","","","","",""
"","","E76047","","","10/04/2018  02:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76050","","","10/04/2018  02:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76046","","","10/04/2018  02:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76049","","","10/04/2018  02:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76048","","","10/04/2018  02:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64953","","","10/11/2018  01:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64952","","","10/11/2018  01:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64951","","","10/11/2018  01:10:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64955","","","11/01/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64959","","","11/01/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64956","","","11/01/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64958","","","11/01/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64957","","","11/01/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64960","","","11/21/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64961","","","11/21/2018  03:11:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64962","","","11/30/2018  18:11:00 PM","","","","","","","","","","","PARKED OUTSIDE DESIGNATED SPACE*","","","","","","","","","","","Richmond B","","","","","",""
"","","E64963","","","12/04/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64964","","","12/04/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64965","","","12/04/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64966","","","12/04/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E76320","","","12/06/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Townsend Lot","","","","","",""
"","","E64967","","","12/06/2018  01:12:00 AM","","","","","","","","","","","HANDICAP AREA*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E64968","","","12/06/2018  01:12:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E64970","","","12/06/2018  01:12:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E64969","","","12/06/2018  01:12:00 AM","","","","","","","","","","","RESTRICTED ZONE - SERVICE SPACE*","","","","","","","","","","","Hayes Loading","","","","","",""
"","","E64973","","","12/07/2018  01:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64971","","","12/07/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64827","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64828","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64829","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64831","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64833","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64834","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64826","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64830","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64832","","","12/07/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Richmond A","","","","","",""
"","","E64836","","","12/11/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64837","","","12/13/2018  04:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Cooke A","","","","","",""
"","","E64838","","","12/14/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64839","","","12/14/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64840","","","12/14/2018  02:12:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63978","","","01/09/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Stadium","","","","","",""
"","","E63979","","","01/09/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Stadium","","","","","",""
"","","E63749","","","01/16/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Stadium","","","","","",""
"","","E63750","","","01/16/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Arena","","","","","",""
"","","E63980","","","01/27/2018  23:01:00 PM","","","","","","","","","","","NO PARKING, STOPPING, STANDING*","","","","","","","","","","","Governors Loading","","","","","",""
"","","E63981","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63983","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63984","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63982","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63990","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63987","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63989","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63985","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63986","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63988","","","01/29/2018  03:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63992","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63994","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63993","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63991","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63999","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63998","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E64000","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63995","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63997","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63996","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63852","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63851","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63855","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
"","","E63854","","","01/29/2018  04:01:00 AM","","","","","","","","","","","OVERNIGHT PARKING PROHIBITED*","","","","","","","","","","","Red Jacket Lot","","","","","",""
